NAICScode	ManufacturingSector	AnnualPayroll
315	Apparel manufacturing	169258
313	Textile mills	218277
316	Leather and allied product manufacturing	224437
314	Textile product mills	402184
312	Beverage and tobacco product manufacturing	1141943
324	Petroleum and coal products manufacturing	1763362
321	Wood product manufacturing	2905022
337	Furniture and related product manufacturing	4003775
327	Nonmetallic mineral product manufacturing	4356030
335	"Electrical equipment, appliance, and component manufacturing"	5169468
322	Paper manufacturing	5662589
323	Printing and related support activities	6168152
339	Miscellaneous manufacturing	6621372
334	Computer and electronic product manufacturing	9343949
331	Primary metal manufacturing	9487498
326	Plastics and rubber products manufacturing	11137419
325	Chemical manufacturing	12420096
311	Food manufacturing	14412342
333	Machinery manufacturing	20682617
332	Fabricated metal product manufacturing	22461855
336	Transportation equipment manufacturing	29027987
